"","shot_distance","made","made_shot_prop"
"1",0,344,0.2752
"2",1,262,0.214754098360656
"3",2,151,0.165027322404372
"4",3,31,0.0536332179930796
"5",4,23,0.0619946091644205
"6",5,12,0.0096
"7",6,19,0.0155737704918033
"8",7,17,0.0185792349726776
"9",8,19,0.0328719723183391
"10",9,17,0.045822102425876
"11",10,26,0.0208
"12",11,20,0.0163934426229508
"13",12,32,0.0349726775956284
"14",13,24,0.041522491349481
"15",14,30,0.0808625336927224
"16",15,36,0.0288
"17",16,57,0.0467213114754098
"18",17,37,0.0404371584699454
"19",18,57,0.0986159169550173
"20",19,42,0.113207547169811
"21",20,31,0.0248
"22",21,24,0.019672131147541
"23",22,50,0.0546448087431694
"24",23,115,0.198961937716263
"25",24,142,0.382749326145553
"26",25,211,0.1688
"27",26,151,0.123770491803279
"28",27,60,0.0655737704918033
"29",28,21,0.0363321799307958
"30",29,15,0.0404312668463612
"31",30,6,0.0048
"32",31,4,0.00327868852459016
"33",32,2,0.00218579234972678
"34",33,2,0.00346020761245675
"35",51,1,0.00269541778975741
